	1484                     	5                        	0.0289                   	5,7,9,12,19              
	1488                     	15                       	0.0386                   	1,4,5,6,7,8,9,10,13,14,15,16,17,18,19
	1489                     	3                        	0.0231                   	1,4,11                   
	1493                     	6                        	0.0291                   	9,11,12,14,16,18         
	1512                     	1                        	0.0212                   	18                       
	1527                     	3                        	0.0204                   	11,12,19                 
	1537                     	1                        	0.0313                   	4                        
	1541                     	1                        	0.0228                   	20                       
	1552                     	1                        	0.0187                   	3                        
	1553                     	1                        	0.0101                   	14                       
	1554                     	1                        	0.0026                   	16                       
	1561                     	1                        	0.0516                   	6                        
	1563                     	1                        	0.0752                   	3                        
	1567                     	4                        	0.0304                   	10,13,19,20              
	1570                     	1                        	0.0588                   	2                        
	1571                     	13                       	0.0213                   	1,3,4,5,6,8,9,10,11,15,16,19,20
	1572                     	1                        	0.0224                   	14                       
	1591                     	2                        	0.0033                   	3,14                     
	1595                     	1                        	0.0266                   	16                       
	1596                     	2                        	0.0255                   	7,18                     
	1607                     	1                        	0.0495                   	10                       
	1621                     	2                        	0.0203                   	7,8                      
	1622                     	1                        	0.0428                   	8                        
	1625                     	2                        	0.0127                   	4,8                      
	1634                     	1                        	0.0434                   	6                        
	1654                     	1                        	0.0509                   	15                       
	1656                     	1                        	0.1816                   	1                        
	1658                     	2                        	0.0128                   	12,15                    
	1660                     	3                        	0.0135                   	2,5,13                   
	1662                     	1                        	0.0086                   	15                       
	1675                     	7                        	0.0373                   	6,8,9,10,14,19,20        
	1681                     	2                        	0.0039                   	1,4                      
	1688                     	1                        	0.1158                   	2                        
	1706                     	5                        	0.0246                   	3,6,8,9,15               
	1724                     	5                        	0.0252                   	2,7,10,14,18             
	1727                     	1                        	0.0076                   	15                       
	1728                     	1                        	0.0122                   	2                        
	1738                     	5                        	0.0161                   	4,6,10,11,13             
	1745                     	3                        	0.0284                   	5,11,14                  
	1746                     	3                        	0.0208                   	7,14,18                  
	1747                     	6                        	0.0351                   	2,6,8,10,13,20           
	1748                     	5                        	0.0124                   	1,5,7,17,18              
	1749                     	2                        	0.0147                   	14,15                    
	1750                     	2                        	0.0543                   	4,14                     
	1751                     	1                        	0.013                    	11                       
	1782                     	4                        	0.0256                   	5,7,13,16                
	1821                     	1                        	0.0192                   	14                       
	1823                     	1                        	0.0555                   	19                       
	1836                     	5                        	0.0576                   	5,7,8,9,16               
	1837                     	1                        	0.0303                   	19                       
	1846                     	2                        	0.0139                   	4,10                     
	1849                     	1                        	0.1334                   	19                       
	1873                     	1                        	0.0339                   	1                        
