          15	         108(88.52)	          14(11.48)	          14(11.48)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	         115(94.26)	           7(5.74)	           7(5.74)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	         113(92.62)	           9(7.38)	           9(7.38)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	         106(86.89)	          16(13.11)	          14(11.48)	           2(1.64)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	         110(90.16)	          12(9.84)	          12(9.84)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	         115(94.26)	           7(5.74)	           7(5.74)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


4.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	4                        	1                        	0.1675                   	15                       
	6                        	1                        	1.1003                   	15                       
	7                        	5                        	0.5689                   	5,7,10,16,17             
	9                        	5                        	0.899                    	4,8,15,18,19             
	10                       	10                       	1.6624                   	1,2,3,5,6,8,9,12,13,14   
	12                       	18                       	2.2545                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,20
	14                       	1                        	0.7047                   	12                       
	15                       	1                        	1.5245                   	2                        
	16                       	1                        	1.2648                   	6                        
	17                       	3                        	1.2579                   	5,8,10                   
	18                       	1                        	0.2701                   	19                       
	19                       	6                        	0.3152                   	8,11,15,16,18,20         
	22                       	5                        	1.298                    	1,3,5,8,12               
	23                       	9                        	2.5868                   	3,5,7,10,14,15,17,18,19  
	24                       	7                        	1.7684                   	5,7,10,13,15,18,19       
	26                       	15                       	2.4066                   	2,3,4,5,7,8,10,12,13,15,16,17,18,19,20
	27                       	5                        	0.8773                   	2,9,12,15,18             
	29                       	1                        	0.846                    	19                       
	30                       	11                       	1.1941                   	1,2,5,6,7,8,11,15,17,18,20
	32                       	19                       	3.1212                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	39                       	1                        	1.1969                   	15                       
	41                       	1                        	0.4204                   	5                        
	62                       	4                        	1.0482                   	9,12,13,18               
	66                       	1                        	0.0975                   	11                       
	69                       	3                        	0.708                    	6,13,18                  
	70                       	8                        	1.9245                   	2,3,5,7,10,15,16,19      
	75                       	1                        	0.535                    	9                        
	76                       	1                        	1.9656                   	2                        
	78                       	1                        	0.7514                   	8                        
	79                       	7                        	0.6889                   	1,3,5,6,8,10,18          
	81                       	18                       	2.8972                   	1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20
	85                       	3                        	0.8515                   	2,5,16                   
	86                       	1                        	0.6285                   	13                       
	89                       	3                        	1.5045                   	4,18,19                  
	90                       	4                        	0.9331                   	1,7,14,18                
	92                       	4                        	1.2674                   	3,4,18,19                
	93                       	3                        	1.852                    	6,14,20                  
	100                      	2                        	0.9678                   	2,8                      
	110                      	2                        	0.7189                   	14,17                    
	114                      	1                        	1.5258                   	17                       
	116                      	2                        	1.9097                   	3,5                      
	119                      	3                        	1.1766                   	1,3,12                   
	120                      	2                        	0.9825                   	3,12                     
	122                      	3                        	0.9237                   	1,3,7                    

4.3 Angle restraint violations summary
--------------------------------------

	Number of consistently violated restraints (violated in all models)     =     0 (0.0%)
	Number of violated restraints (at least in one model)                   =    44 (36.07%)
	Number of non violated restraints                                       =    78 (63.93%)
	Total number of restraints                                              =   122 (100.0%)


4.4 List of largest 10 angle violations
---------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	23                            	10                            	6.2582                        
	32                            	18                            	5.9254                        
	26                            	18                            	5.2352                        
	32                            	9                             	4.9706                        
	23                            	17                            	4.7384                        
	81                            	12                            	4.6873                        
	12                            	7                             	4.6377                        
	81                            	15                            	4.6199                        
	32                            	6                             	4.4428                        
	32                            	8                             	4.4012                        


4.5 List of largest 10 average angle violations
-----------------------------------------------

	Restraint ID                  	Number of models              	|Exp. value - Model value|A   

	32                            	19                            	3.1212                        
	81                            	18                            	2.8972                        
	23                            	9                             	2.5868                        
	26                            	15                            	2.4066                        
	12                            	18                            	2.2545                        
	76                            	1                             	1.9656                        
	70                            	8                             	1.9245                        
	116                           	2                             	1.9097                        
	93                            	3                             	1.852                         
	24                            	7                             	1.7684                        
========================================================================================================================

