	32                            	12                            	7.4627                        
	32                            	20                            	7.4499                        
	32                            	4                             	7.058                         


4.5 List of largest 10 average angle violations
-----------------------------------------------

	Restraint ID                  	Number of models              	|Exp. value - Model value|A   

	32                            	20                            	6.9348                        
	39                            	2                             	2.2116                        
	36                            	19                            	1.7238                        
	43                            	1                             	1.4188                        
	70                            	11                            	1.4132                        
	48                            	5                             	1.0607                        
	34                            	3                             	0.9433                        
	2                             	8                             	0.7186                        
	9                             	2                             	0.4714                        
	14                            	1                             	0.2958                        
========================================================================================================================

