          18	         184(93.88)	          12(6.12)	          10(5.1)	           2(1.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	         188(95.92)	           8(4.08)	           8(4.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	         188(95.92)	           8(4.08)	           8(4.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


4.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	1                        	6                        	1.4682                   	6,9,11,13,16,20          
	2                        	2                        	0.3775                   	7,18                     
	4                        	6                        	2.3948                   	1,3,6,14,17,18           
	5                        	1                        	0.2996                   	1                        
	6                        	10                       	1.6055                   	1,2,8,10,12,13,14,15,16,18
	8                        	1                        	0.5787                   	8                        
	10                       	3                        	1.7083                   	2,4,5                    
	12                       	14                       	2.9222                   	2,3,6,7,8,11,12,13,14,16,17,18,19,20
	13                       	18                       	3.568                    	1,2,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20
	14                       	11                       	1.639                    	1,3,4,6,8,10,12,15,16,17,19
	20                       	3                        	1.0781                   	6,10,20                  
	31                       	2                        	0.94                     	3,14                     
	34                       	7                        	0.9915                   	7,9,11,12,13,16,19       
	39                       	1                        	2.2303                   	1                        
	40                       	3                        	1.2262                   	6,7,10                   
	41                       	3                        	0.3834                   	4,9,16                   
	42                       	5                        	1.7921                   	1,2,8,12,18              
	43                       	1                        	0.7528                   	4                        
	44                       	6                        	1.515                    	1,7,12,13,17,19          
	46                       	15                       	2.7028                   	1,2,3,4,5,6,7,8,10,12,13,14,15,17,20
	54                       	1                        	0.601                    	4                        
	56                       	3                        	1.0159                   	1,2,10                   
	58                       	2                        	1.2364                   	3,7                      
	59                       	1                        	0.3249                   	9                        
	60                       	2                        	1.0005                   	9,13                     
	74                       	6                        	1.5777                   	2,4,6,8,13,15            
	78                       	5                        	0.6099                   	1,2,7,15,16              
	81                       	2                        	0.361                    	7,18                     
	82                       	6                        	1.9799                   	1,4,7,10,14,15           
	83                       	2                        	1.3282                   	6,10                     
	84                       	1                        	1.3244                   	17                       
	96                       	2                        	0.3636                   	2,3                      
	100                      	1                        	1.2417                   	11                       
	110                      	2                        	1.6782                   	15,16                    
	114                      	18                       	3.4426                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19
	118                      	2                        	0.3057                   	1,11                     
	120                      	8                        	1.0527                   	5,8,9,10,11,12,14,15     
	122                      	5                        	2.012                    	1,5,8,9,13               
	126                      	2                        	1.8384                   	18,19                    
	128                      	1                        	1.3622                   	17                       
	140                      	7                        	0.9909                   	1,3,10,13,15,17,20       
	144                      	2                        	0.8614                   	10,13                    
	148                      	2                        	1.3864                   	7,9                      
	150                      	12                       	2.1074                   	1,2,5,6,7,12,14,15,16,17,19,20
	152                      	2                        	0.787                    	6,13                     
	155                      	16                       	1.9001                   	1,2,3,4,5,6,7,8,9,10,11,13,14,17,18,20
	156                      	1                        	0.1633                   	12                       
	160                      	2                        	0.2201                   	2,17                     
	170                      	1                        	7.1422                   	8                        
	176                      	2                        	2.063                    	10,18                    
	191                      	2                        	0.6892                   	7,17                     
	193                      	3                        	1.6884                   	1,4,18                   
	196                      	1                        	0.4947                   	1                        

4.3 Angle restraint violations summary
--------------------------------------

	Number of consistently violated restraints (violated in all models)     =     0 (0.0%)
	Number of violated restraints (at least in one model)                   =    53 (27.04%)
	Number of non violated restraints                                       =   143 (72.96%)
	Total number of restraints                                              =   196 (100.0%)


4.4 List of largest 10 angle violations
---------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	170                           	8                             	7.1422                        
	114                           	6                             	6.7021                        
	12                            	18                            	6.6795                        
	13                            	18                            	6.45                          
	12                            	2                             	6.4445                        
	13                            	2                             	6.2278                        
	13                            	11                            	5.9742                        
	46                            	8                             	5.9064                        
	12                            	11                            	5.6542                        
	13                            	7                             	5.3183                        


4.5 List of largest 10 average angle violations
-----------------------------------------------

	Restraint ID                  	Number of models              	|Exp. value - Model value|A   

	170                           	1                             	7.1422                        
	13                            	18                            	3.568                         
	114                           	18                            	3.4426                        
	12                            	14                            	2.9222                        
	46                            	15                            	2.7028                        
	4                             	6                             	2.3948                        
	39                            	1                             	2.2303                        
	150                           	12                            	2.1074                        
	176                           	2                             	2.063                         
	122                           	5                             	2.012                         
========================================================================================================================

